Age, Yrs AD;YOK-I d18O (permil VPDB)
1839.49;-4.190
1839.11;-3.990
1838.75;-4.080
1838.41;-4.080
1838.09;-4.050
1837.80;-4.120
1837.52;-4.010
1837.27;-4.080
1837.03;-4.050
1836.79;-3.950
1836.56;-4.010
1836.34;-4.030
1836.13;-4.020
1835.93;-4.010
1835.73;-4.080
1835.53;-3.960
1835.35;-4.130
1835.16;-3.980
1834.98;-4.140
1834.81;-3.990
1834.64;-4.480
1833.97;-4.040
1833.81;-4.060
1833.65;-4.250
1833.49;-4.090
1833.33;-4.180
1833.16;-3.790
1833.00;-4.250
1832.83;-4.200
1832.66;-4.290
1832.49;-4.420
1832.31;-4.220
1832.14;-4.220
1831.95;-4.190
1831.76;-4.280
1831.57;-4.280
1831.37;-4.230
1831.16;-4.130
1830.95;-4.480
1830.73;-4.450
1830.50;-4.330
1830.26;-4.390
1830.02;-4.150
1829.77;-3.650
1829.50;-3.860
1829.22;-3.790
1828.91;-3.690
1828.57;-4.220
1828.22;-3.330
1827.84;-3.320
1827.45;-3.220
1827.04;-3.000
1826.61;-3.220
1826.18;-3.290
1825.74;-3.220
1825.29;-3.290
1824.83;-3.260
1824.37;-3.270
1823.91;-3.350
1823.46;-3.310
1823.00;-3.340
1822.56;-2.700
1822.12;-4.170
1821.69;-3.420
1821.27;-3.610
1820.87;-3.480
1820.48;-3.300
1820.11;-3.220
1819.74;-3.370
1819.37;-3.240
1819.00;-3.690
1818.63;-3.030
1818.27;-3.020
1817.91;-3.510
1817.55;-3.390
1817.19;-3.480
1816.83;-2.990
1816.48;-3.220
1816.13;-3.380
1815.77;-3.570
1815.42;-3.270
1815.08;-3.480
1814.73;-3.160
1814.38;-3.680
1814.04;-3.900
1813.70;-3.760
1813.35;-3.600
1813.01;-3.690
1812.67;-3.710
1812.33;-3.700
1811.99;-3.500
1811.66;-3.560
1811.32;-3.590
1810.98;-3.730
1810.65;-3.890
1810.31;-3.940
1809.98;-3.950
1809.65;-3.920
1809.31;-4.080
1808.98;-4.080
1808.65;-4.180
1808.31;-4.150
1807.98;-4.170
1807.65;-3.710
1807.32;-3.580
1806.99;-3.750
1806.65;-3.650
1806.32;-3.950
1805.99;-3.470
1805.65;-4.210
1805.32;-3.680
1804.99;-4.690
1804.65;-3.460
1804.32;-3.450
1803.98;-3.540
1803.65;-3.360
1803.31;-3.120
1802.97;-3.270
1802.63;-3.390
1802.30;-3.090
1801.96;-3.190
1801.61;-3.090
1801.27;-3.170
1800.93;-3.150
1800.58;-3.130
1800.24;-3.230
1799.89;-3.140
1799.54;-3.070
1799.19;-3.170
1798.84;-3.110
1798.49;-3.100
1798.14;-3.410
1797.80;-3.180
1797.48;-3.280
1797.16;-3.170
1796.85;-3.200
1796.54;-3.580
1796.23;-3.260
1795.93;-3.440
1795.62;-3.770
1795.31;-3.370
1795.00;-3.100
1794.68;-3.230
1794.36;-3.270
1794.02;-3.470
1793.67;-3.500
1793.31;-3.360
1792.94;-3.420
1792.55;-3.220
1792.14;-3.150
1791.71;-3.350
1791.25;-3.040
1790.78;-3.110
1790.28;-3.330
1789.75;-3.860
1789.17;-3.500
1788.46;-3.210
1787.61;-3.780
1786.67;-3.650
1785.66;-3.290
1784.61;-3.100
1783.55;-3.980
1782.52;-3.250
1781.49;-3.010
1780.44;-3.270
1779.36;-3.640
1778.26;-3.400
1777.14;-3.710
1775.99;-3.490
1774.82;-3.850
1773.64;-3.610
1772.44;-3.980
1771.22;-4.020
1769.99;-3.640
1768.75;-3.210
1767.50;-3.620
1766.23;-3.440
1764.96;-3.600
1763.69;-3.460
1762.41;-3.670
1761.12;-3.440
1759.84;-3.160
1758.55;-3.560
1755.98;-3.470
1754.70;-3.340
1753.43;-3.420
1752.17;-3.660
1750.91;-3.590
1749.66;-3.350
1747.21;-3.980
1746.00;-4.300
1744.81;-3.630
1743.64;-3.700
1742.49;-3.690
1741.35;-3.700
1740.21;-3.990
1739.09;-3.710
1737.97;-3.450
1736.85;-3.510
1735.75;-3.620
1733.57;-3.600
1732.49;-3.500
1731.43;-3.730
1730.40;-3.760
1729.39;-3.660
1728.40;-3.490
1727.43;-3.650
1726.47;-3.540
1725.52;-3.420
1724.58;-3.490
1723.65;-3.670
1722.72;-3.700
1721.80;-3.880
1720.87;-3.680
1719.93;-3.680
1718.99;-3.710
1718.04;-3.760
1717.07;-3.520
1715.09;-3.240
1714.07;-3.550
1703.49;-4.250
1701.92;-4.500
1700.01;-4.710
1695.77;-4.300
1693.72;-3.980
1691.91;-3.750
1690.49;-4.090
1689.58;-4.060
1688.47;-4.100
1687.97;-3.450
1685.94;-4.500
1685.62;-3.750
1685.33;-3.500
1685.06;-3.210
1684.82;-4.220
1684.60;-3.780
1684.41;-3.640
1684.24;-3.860
1684.07;-3.590
1683.91;-3.670
1683.76;-3.330
1683.60;-4.440
1683.45;-3.400
1683.30;-3.650
1683.15;-3.560
1683.01;-4.030
1682.86;-4.060
1682.72;-3.750
1682.58;-3.680
1682.44;-3.730
1682.30;-4.230
1682.17;-3.650
1682.03;-3.470
1681.90;-3.580
1681.77;-3.990
1681.63;-3.900
1681.50;-3.540
1681.37;-3.410
1681.24;-3.840
1681.11;-3.430
1680.99;-3.550
1680.86;-3.530
1680.73;-3.530
1680.60;-3.620
1680.47;-3.590
1680.34;-3.870
1680.21;-3.750
1680.08;-3.820
1679.95;-3.750
1679.82;-3.840
1679.69;-3.660
1679.56;-3.790
1679.42;-3.910
1679.29;-3.730
1679.15;-3.950
1679.01;-3.790
1678.88;-3.860
1678.74;-3.710
1678.59;-3.900
1678.45;-3.780
1678.30;-3.860
1678.15;-3.760
1678.00;-3.700
1677.85;-3.730
1677.70;-3.720
1677.54;-3.810
1677.38;-3.730
1677.21;-3.890
1677.05;-3.750
1676.88;-3.710
1676.71;-3.700
1676.53;-3.770
1676.34;-3.470
1676.14;-3.670
1675.91;-3.650
1675.66;-3.850
1675.40;-3.670
1675.12;-3.470
1674.83;-3.520
1674.52;-3.480
1674.19;-3.870
1673.86;-3.750
1673.51;-3.530
1673.14;-3.320
1672.72;-3.360
1672.27;-3.610
1671.79;-3.400
1671.27;-3.760
1670.72;-3.980
1670.13;-3.700
1669.52;-3.870
1668.89;-3.880
1668.23;-3.650
1667.54;-3.790
1666.84;-3.670
1666.12;-3.980
1665.38;-3.690
1664.62;-3.750
1663.85;-3.790
1663.07;-3.630
1662.27;-3.840
1661.47;-4.170
1660.67;-4.060
1658.22;-3.810
1657.41;-3.480
1656.60;-3.390
1655.79;-3.660
1654.98;-3.570
1654.19;-3.640
1653.41;-4.180
1652.63;-3.900
1651.87;-3.750
1651.13;-3.360
1650.40;-3.270
1649.69;-3.590
1648.98;-3.550
1648.25;-3.520
1646.74;-3.260
1645.99;-3.380
1645.25;-3.380
1644.53;-3.580
1643.83;-3.190
1643.17;-3.270
1642.54;-3.160
1641.93;-3.460
1641.29;-4.430
1640.64;-3.490
1640.00;-4.200
1639.39;-3.740
1638.82;-3.950
1638.30;-3.220
1637.87;-3.500
1637.52;-3.580
1637.25;-3.390
1637.01;-3.250
1636.25;-3.030
1636.08;-3.310
1635.91;-3.330
1635.73;-3.240
1635.53;-3.080
1635.32;-3.570
1635.08;-3.300
1634.80;-3.200
1634.49;-3.610
1634.07;-3.570
1633.51;-3.520
1632.82;-3.920
1632.02;-3.690
1631.14;-3.270
1630.20;-3.470
1629.23;-3.570
1628.24;-3.580
1627.26;-3.600
1626.13;-3.880
1624.79;-4.080
1623.42;-2.970
1622.19;-3.620
1621.09;-3.490
1619.73;-3.620
1615.75;-4.190
1615.06;-3.420
1614.44;-3.670
1613.88;-3.520
1613.37;-3.360
1612.92;-3.580
1612.51;-3.390
1612.14;-3.350
1611.81;-3.440
1611.50;-3.530
1611.22;-3.600
1610.95;-3.500
1610.70;-3.750
1610.46;-3.720
1610.21;-3.700
1609.97;-3.870
1609.71;-4.010
1609.45;-3.820
1609.16;-3.700
1608.84;-3.600
1608.50;-3.570
1608.13;-3.500
1607.75;-4.130
1607.36;-3.750
1606.96;-3.510
1606.55;-3.520
1606.13;-3.630
1605.71;-3.690
1605.27;-3.770
1604.83;-3.640
1604.39;-3.630
1603.94;-3.590
1603.49;-3.520
1602.49;-3.960
1601.93;-3.500
1601.34;-3.510
1600.75;-3.410
1600.14;-3.390
1599.55;-3.260
1598.97;-3.690
1598.43;-3.370
1597.92;-3.350
1597.47;-3.350
1597.05;-3.550
1596.64;-3.510
1596.24;-3.640
1595.84;-3.520
1595.45;-3.610
1595.07;-3.340
1594.69;-3.550
1594.32;-3.590
1593.95;-3.760
1593.60;-3.460
1593.24;-3.600
1592.89;-3.570
1591.55;-3.520
1591.23;-3.460
1590.91;-4.040
1590.60;-3.280
1590.29;-3.350
1589.98;-3.430
1589.67;-3.540
1589.38;-3.330
1589.08;-3.110
1588.79;-3.150
1588.49;-3.260
1588.21;-3.210
1587.92;-3.410
1587.64;-3.180
1587.36;-3.170
1587.08;-3.280
1586.80;-3.280
1586.53;-3.570
1586.25;-3.270
1585.98;-3.280
1585.71;-3.370
1585.44;-3.680
1585.17;-3.510
1584.90;-3.250
1584.36;-3.670
1584.10;-3.420
1583.83;-3.270
1583.56;-3.260
1583.29;-3.590
1583.02;-3.610
1582.75;-3.420
1582.47;-3.430
1582.20;-4.100
1581.93;-3.510
1581.65;-3.450
1581.37;-3.540
1581.09;-3.390
1580.81;-3.340
1580.52;-3.330
1580.24;-3.530
1579.95;-3.280
1579.65;-3.320
1579.36;-3.470
1579.06;-3.780
1578.75;-3.610
1578.45;-3.420
1578.14;-3.570
1577.82;-3.790
1577.50;-3.480
1577.18;-3.840
1576.85;-3.610
1576.52;-3.580
1576.18;-3.850
1575.84;-3.400
1575.49;-3.370
1575.14;-3.470
1574.78;-3.450
1574.42;-3.490
1574.04;-3.700
1573.67;-3.500
1572.89;-3.670
1572.50;-3.920
1572.08;-3.580
1571.64;-3.500
1571.16;-3.470
1570.67;-3.600
1570.15;-3.650
1569.61;-3.480
1569.06;-3.420
1568.50;-3.370
1567.92;-3.350
1567.34;-3.480
1566.76;-3.170
1566.17;-3.120
1565.59;-3.060
1565.01;-3.160
1564.44;-3.240
1563.88;-3.350
1563.34;-3.280
1562.81;-3.230
1562.30;-3.390
1561.81;-3.640
1561.35;-3.370
1560.92;-3.450
1560.52;-3.400
1560.15;-3.580
1559.82;-3.500
1559.53;-3.650
1559.27;-3.500
1559.01;-3.720
1558.77;-3.460
1558.54;-3.450
1558.31;-3.410
1558.10;-3.470
1557.89;-3.450
1557.68;-3.370
1557.49;-3.380
1557.30;-3.440
1557.12;-3.360
1556.94;-3.410
1556.76;-3.470
1556.59;-3.420
1556.42;-3.450
1556.26;-3.430
1556.09;-3.430
1555.93;-3.320
1555.77;-3.430
1555.61;-3.490
1555.45;-3.450
1555.29;-3.400
1555.12;-3.370
1554.96;-3.290
1554.79;-3.160
1554.62;-3.160
1554.45;-3.230
1554.27;-3.200
1554.09;-3.310
1553.90;-3.270
1553.71;-3.430
1553.51;-3.400
1553.30;-3.330
1553.08;-3.280
1552.86;-3.220
1552.63;-3.270
1552.39;-3.300
1552.15;-3.300
1551.90;-3.550
1551.65;-3.430
1551.39;-3.480
1551.13;-3.440
1550.87;-3.450
1550.60;-3.320
1550.33;-3.360
1550.05;-3.360
1549.77;-3.240
1549.48;-3.590
1549.19;-3.260
1548.90;-3.490
1548.60;-3.170
1548.30;-3.590
1547.99;-3.190
1547.68;-3.470
1547.37;-3.500
1547.05;-3.370
1546.73;-3.840
1546.41;-3.540
1546.08;-3.310
1545.74;-3.280
1545.41;-3.360
1545.07;-3.480
1544.73;-3.450
1544.38;-3.480
1544.03;-3.550
1543.68;-3.620
1543.32;-3.440
1542.96;-3.620
1542.59;-3.570
1542.23;-3.320
1541.86;-3.480
1541.48;-3.570
1541.11;-3.430
1540.73;-3.560
1540.34;-3.680
1539.96;-3.650
1539.57;-3.550
1539.18;-3.600
1538.78;-3.520
1538.38;-3.700
1537.98;-3.810
1537.58;-3.910
1537.17;-3.740
1536.76;-3.740
