Age, Yrs AD;YOK-I d13C (permil VPDB)
1839.13;-8.77
1838.77;-8.79
1838.43;-8.78
1838.11;-8.83
1837.81;-8.93
1837.54;-8.71
1837.29;-8.82
1837.04;-8.82
1836.81;-8.59
1836.58;-8.5
1836.36;-8.63
1836.15;-8.62
1835.94;-8.37
1835.74;-8.31
1835.55;-8.18
1835.36;-8.22
1835.18;-8.02
1835.00;-8.14
1834.82;-8.14
1834.65;-8.3
1833.99;-8.46
1833.83;-8.4
1833.66;-8.37
1833.50;-8.4
1833.34;-8.43
1833.17;-7.96
1833.01;-8.5
1832.84;-8.4
1832.67;-8.29
1832.50;-8.45
1832.32;-8.45
1832.14;-8.43
1831.96;-8.52
1831.77;-8.45
1831.58;-8.33
1831.38;-8.12
1831.17;-8
1830.96;-8.13
1830.74;-8.27
1830.51;-8.13
1830.27;-8.17
1830.02;-8.23
1829.77;-7.68
1829.50;-7.7
1829.22;-7.32
1828.91;-7.55
1828.58;-7.54
1828.22;-6.95
1827.84;-7.77
1827.45;-7.8
1827.04;-7.36
1826.61;-7.96
1826.18;-7.51
1825.73;-7.91
1825.28;-7.85
1824.83;-7.78
1824.37;-7.85
1823.91;-7.97
1823.45;-7.77
1823.00;-7.69
1822.55;-7.5
1822.11;-7.42
1821.68;-7.98
1821.27;-8.13
1820.87;-7.92
1820.48;-7.59
1820.11;-7.82
1819.73;-7.53
1819.36;-7.48
1819.00;-7.99
1818.63;-7.17
1818.27;-7.45
1817.90;-7.85
1817.54;-7.76
1817.19;-7.85
1816.83;-7.85
1816.48;-7.77
1816.12;-7.94
1815.77;-8.18
1815.42;-7.83
1815.07;-8.04
1814.73;-7.74
1814.38;-7.87
1814.04;-8.09
1813.69;-8.05
1813.35;-7.76
1813.01;-7.75
1812.67;-7.39
1812.33;-7.87
1811.99;-7.46
1811.66;-7.47
1811.32;-7.45
1810.99;-7.2
1810.65;-7.3
1810.32;-7.24
1809.98;-7.51
1809.65;-7.42
1809.32;-7.64
1808.98;-7.54
1808.65;-7.5
1808.32;-7.68
1807.99;-7.63
1807.66;-7.44
1807.32;-7.21
1806.99;-7.39
1806.66;-7.2
1806.33;-7.53
1806.00;-7.16
1805.66;-7.7
1805.33;-7.49
1805.00;-8.08
1804.67;-7.34
1804.33;-7.21
1804.00;-7.4
1803.66;-7.48
1803.32;-7.27
1802.99;-7.34
1802.65;-7.5
1802.31;-7.27
1801.97;-7.14
1801.63;-7.21
1801.29;-7.29
1800.95;-7.16
1800.60;-7.1
1800.26;-7.05
1799.91;-7.22
1799.56;-7.47
1799.21;-7.36
1798.86;-7.46
1798.51;-7.34
1798.16;-7.31
1797.83;-7.31
1797.50;-7.36
1797.19;-7.43
1796.87;-7.38
1796.57;-7.56
1796.26;-7.6
1795.96;-7.6
1795.65;-7.73
1795.35;-7.87
1795.04;-7.78
1794.72;-7.75
1794.39;-7.66
1794.06;-7.67
1793.71;-7.76
1793.35;-7.63
1792.98;-7.61
